Make_x,Model,New Price,Decay Coeff,Fit R2,Half-life,Make_y,Body,Listings
Chevrolet,Express 2500,26139,0.088,0.595,7.88,Chevrolet,Van,123
Chevrolet,Express 3500,33651,0.091,0.548,7.66,Chevrolet,Van,164
Chevrolet,Impala,23096,0.126,0.624,5.49,Chevrolet,Sedan,444
Chevrolet,Malibu,21747,0.125,0.742,5.53,ChevroletChevroletChevrolet,SedanWagonHatchback,496
Chevrolet,Silverado 1500,39807,0.102,0.759,6.78,Chevrolet,Truck,1107
Chevrolet,Silverado 2500,60816,0.105,0.673,6.6,Chevrolet,Truck,352
Chevrolet,Silverado 3500,57199,0.091,0.637,7.61,Chevrolet,Truck,128
Chevrolet,Sonic,14792,0.114,0.453,6.07,ChevroletChevrolet,SedanHatchback,77
Chevrolet,Suburban,59425,0.152,0.843,4.55,ChevroletGMC,SUVSUV,370
Chevrolet,Tahoe,52510,0.134,0.776,5.16,Chevrolet,SUV,664
Chevrolet,TrailBlazer,17240,0.09,0.085,7.71,Chevrolet,SUV,132
Chevrolet,Traverse,41476,0.182,0.882,3.81,Chevrolet,SUV,220
Chevrolet,Trax,21782,0.094,0.356,7.4,Chevrolet,SUV,108
Chevrolet,Volt,53004,0.239,0.328,2.9,ChevroletChevrolet,HatchbackSedan,74
Chrysler,200,22002,0.157,0.386,4.4,ChryslerChrysler,SedanConvertible,135
Chrysler,300,28776,0.12,0.755,5.79,Chrysler,Sedan,384
Chrysler,Pacifica,43544,0.287,0.711,2.42,ChryslerChryslerChrysler,VanSUVWagon,165
Chrysler,Sebring,10430,0.061,0.079,11.34,ChryslerChryslerChrysler,ConvertibleSedanCoupe,79
Chrysler,Town & Country,28489,0.138,0.761,5.03,Chrysler,Van,184
Dodge,Charger,43752,0.183,0.57,3.79,Dodge,Sedan,475
Dodge,Dakota,37110,0.119,0.488,5.83,Dodge,Truck,116
Dodge,Dart,18327,0.114,0.184,6.07,Dodge,Sedan,75
Dodge,Durango,43646,0.149,0.651,4.66,Dodge,SUV,396
